"Country","Country Code","Social Progress Index","Basic Human Needs","Foundations of Wellbeing","Opportunity","Nutrition and Basic Medical Care","Water and Sanitation","Shelter","Personal Safety","Access to Basic Knowledge","Access to Information and Communications","Health and Wellness","Environmental Quality","Personal Rights","Personal Freedom and Choice","Tolerance and Inclusion","Access to Advanced Education","Undernourishment","Depth of food deficit","Maternal mortality rate","Child mortality rate","Deaths from infectious diseases","Access to piped water","Rural access to improved water source","Access to improved sanitation facilities","Availability of affordable housing","Access to electricity","Quality of electricity supply","Household air pollution attributable deaths","Homicide rate","Level of violent crime","Perceived criminality","Political terror","Traffic deaths","Adult literacy rate","Primary school enrollment","Lower secondary school enrollment","Upper secondary school enrollment","Gender parity in secondary enrollment","Mobile telephone subscriptions","Internet users","Press Freedom Index","Life expectancy at 60","Premature deaths from non-communicable diseases","Obesity rate","Suicide rate","Outdoor air pollution attributable deaths","Wastewater treatment","Biodiversity and habitat","Greenhouse gas emissions","Political rights","Freedom of speech","Freedom of assembly/association","Freedom of movement","Private property rights","Freedom over life choices","Freedom of religion","Early marriage","Satisfied demand for contraception","Corruption","Tolerance for immigrants","Tolerance for homosexuals","Discrimination and violence against minorities","Religious tolerance","Community safety net","Years of tertiary schooling","Women's average years in school","Inequality in the attainment of education","Globally ranked universities","Percentage of tertiary students enrolled in globally ranked universities","Depth of food deficit - capped","Adult literacy rate - capped","Lower secondary school enrollment - capped","Upper secondary school enrollment - capped","Gender parity in secondary enrollment - difference from parity","Mobile telephone subscriptions - capped","Greenhouse gas emissions - capped","Globally ranked universities - bucketed","Percentage of tertiary students enrolled in globally ranked universities - bucketed"
"Burkina Faso","BFA",49.34,51.77,53.46,42.80,68.50,37.45,34.55,66.60,45.06,57.61,56.60,54.55,65.14,46.07,53.20,6.79,20.7,167,370.620521180288,88.6,648.21691,7.9945966,75.8308342,19.7318113,0.458757251005945,13.1,1.69483464469107,99.984627022,0.720528853263854,3.5,3,2,30,36.02263,67.45066,41.88125,12.90781,0.87201,71.737469513534,9.4,23.79,15.11888,23.79954,0.063,11.38910589,50.987164117,0,88.05,814.885482425647,4,2,1,4,30,0.645948837663793,4,0.32,39.3,38,0.800674062132164,0.105368151808056,5,3,0.703363602719612,,1.86,0.386481,0,0,167,36.0,41.9,12.9,0.128,71.7,814.9,0,0
"Pakistan","PAK",49.13,62.81,53.87,30.70,75.16,66.69,56.76,52.64,55.37,48.99,62.05,49.07,35.43,49.94,18.86,18.58,22,172,177.944757129607,81.1,296.02472,38.8334454,89.9098204,63.5030756,0.554655930410906,93.6,2.06566845669466,98.580381324,7.75021188981147,4,4,5,14.2,58.68314,72.9792,55.85644,31.0551,0.79052,73.3321910549828,13.8,50.46,17.44965,20.5104,0.143,4.960471021,82.749745593,0.1,70.04,411.859003243159,4,0,1,2,30,0.586546270385831,2,0.11,47.3,30,0.486362910320711,0.02725681712974,10,1,0.561720148577635,0.194866925477982,4.26,0.4439953,6,0.04074953089615,172,58.7,55.9,31.1,0.209,73.3,411.9,3,1
"Zimbabwe","ZWE",49.11,51.29,62.33,33.72,61.46,44.43,47.02,52.26,75.98,57.58,56.25,59.49,14.01,53.84,39.90,27.14,33.4,259,443.313824270105,70.7,711.2803,27.5065529,67.3031511,36.8312138,0.624534321180567,40.46256,1.92456964497664,83.213922802,7.53080425547514,3.5,5,3,28.2,86.50256,88.71687,67.05403,36.23769,0.96892,80.8164213071495,19.89,39.19,18.19472,19.31859,0.112,21.61805278,20.312429918,0,94.31,1050.12401832188,5,0,0,1,10,0.659720840686935,3,0.26,83.7,21,0.561281757548629,0.062694138946976,7.8,3,0.726490756021165,0.028899135068059,10.2,0.1739521,0,0,259,86.5,67.1,36.2,0.031,80.8,1050.1,0,0
"Togo","TGO",49.03,50.19,56.53,40.38,75.28,19.50,38.45,67.53,58.66,52.28,62.66,52.51,50.28,51.98,47.68,11.59,11.4,75,368.243687876715,78.4,681.84325,5.4672444,44.2149449,11.6186388,0.349611684735838,31.46256,,115.051140818,9.41176462769938,3,3,1.5,31.1,66.5473,91.16781,67.82578,35.78832,0.52893,64.5782415142386,5.7,28.5,16.56292,20.21439,0.075,7.471743624,51.351133232,0,71.34,668.989156736938,4,1,1,3,30,0.729239504774346,4,0.16,34.1,32,0.746444354460697,0.062465987616522,4.5,4,0.474242708186005,0.126638770103455,4.19,0.3887913,0,0,75,66.5,67.8,35.8,0.471,64.6,669.0,0,0
"Côte d'Ivoire","CIV",48.97,54.24,57.37,35.31,67.03,44.55,50.32,55.07,47.68,66.51,57.29,58.00,35.43,49.80,46.65,9.34,13.3,93,644.990144289271,92.6,861.31661,42.5263077,68.785491,22.4895615,0.474037816358459,55.8,3.86654144982872,132.790307362,12.4367206311484,4,4,3,24.2,43.11306,74.67928,49.61966,26.0704,0.70649,106.247609322745,14.6,30.45,15.58858,23.30033,0.087,10.00669174,60.358646791,0.55,90.88,519.867747856331,4,0,1,2,30,0.780227306374387,4,0.25,32.7,32,0.832484335646048,0.030363190753792,8.7,4,0.700782178898439,0.172945365309715,3.87,0.4511142,0,0,93,43.1,49.6,26.1,0.294,100.0,519.9,0,0
"Mozambique","MOZ",47.96,45.50,58.76,39.62,62.06,19.95,41.17,58.83,56.86,53.65,62.79,61.76,50.28,38.11,59.63,10.47,25.3,181,489.10580762928,78.5,998.06208,8.645498,37.0392216,20.5046142,0.463643457896354,20.2,2.85796086340386,101.667358548,3.65081288999809,3,4,3,31.6,58.77289,87.55633,31.1988,13.50355,0.92142,69.8169986700022,5.94,29.98,16.47116,17.30568,0.066,11.4960501,9.783198288,0,88.43,967.7321910724,4,1,1,3,30,0.638700788036172,4,0.45,35.4,31,0.771957669596606,0.384322120668864,5.9,3,0.81607474860244,0.019393026828766,2.99,0.3381013,0,0,181,58.8,31.2,13.5,0.079,69.8,967.7,0,0
"Cameroon","CMR",47.22,52.70,56.19,32.75,71.29,37.67,45.26,56.58,71.34,53.31,58.75,41.37,23.99,48.13,41.48,17.41,9.9,63,596.443881870984,87.9,768.83793,16.7524575,52.7122866,45.8016112,0.468363071563392,53.7,2.44570258606921,117.970735813,2.77020130073442,4,4,3,27.6,74.98557,91.64219,66.56681,41.63118,0.85088,75.6851330964976,11,39.63,16.52397,19.93819,0.145,9.311179883,54.456564939,0,77.33,1404.66233804914,6,1,0,1,25,0.774128325078841,4,0.26,33.6,27,0.622631666590539,0.067103833600723,8.1,4,0.644927369434924,0.12450198829174,7.17,0.3476,0,0,63,75.0,66.6,41.6,0.149,75.7,1404.7,0,0
"Nigeria","NGA",46.49,46.63,60.47,32.38,66.93,30.33,44.52,44.74,54.92,64.29,63.74,58.93,35.43,41.46,32.45,20.18,7,42,813.977448355573,108.8,866.19223,2.270619,57.2927089,28.9532135,0.470227535469762,55.6,1.37789406306469,88.83682405,10.2766150603329,5,5,4,20.5,59.56797,63.8372,46.32931,41.09893,0.88784,77.8415471511874,42.68,34.09,15.80172,19.79609,0.111,1.195807382,51.986069511,0.154,75.43,332.124225211468,4,0,1,2,30,0.678117782309362,3,0.29,28.5,26,0.664162179194448,0.033206027888572,9.9,1,0.806628304309556,,6.77,0.4329704,1,0.018862012738524,42,59.6,46.3,41.1,0.112,77.8,332.1,1,1
"Djibouti","DJI",46.30,64.65,42.63,31.63,76.11,53.59,59.98,68.90,50.01,25.55,60.80,34.17,23.63,52.08,42.85,7.96,15.9,118,229.177475226619,65.3,625.96577,52.7084737,64.7067481,47.4339138,0.31764138745689,53.26256,,25.886012492,7.02074548381771,2,3,3,24.7,,57.36906,51.8219,40.52763,0.80395,32.3868655881162,10.71,71.04,16.36789,18.80933,0.145,6.590262659,66.577276135,0,39.2,1067.22757231661,6,0,0,3,25,0.737244522331252,2,,42.3,34,0.55962333458908,0.052936241007448,6.6,4,0.63050426868308,,4.05,0.46974,0,0,118,,51.8,40.5,0.196,32.4,1067.2,0,0
"Mali","MLI",46.24,53.46,50.89,34.38,73.71,35.78,39.67,64.66,44.63,62.30,56.16,40.44,50.53,34.16,46.84,6.01,5,23,587.076476541541,114.7,588.26689,15.875986,64.0584283,24.6707478,0.498605047801765,25.6,3.17834488638612,142.293627847,11.2066601613703,3,2,4,25.6,38.70194,59.37863,55.36279,30.18628,0.7565,149.069131234602,7,36.33,15.52345,25.6494,0.132,5.256227785,69.365618374,0,73.03,1179.83967191766,5,1,1,4,25,0.623886259054682,4,0.53,29.2,35,0.820975081960773,0.042115697554056,7.6,2,0.829653392819671,0.063440062105656,1.56,0.4161872,0,0,23,38.7,55.4,30.2,0.244,100.0,1179.8,0,0
"Mauritania","MRT",46.08,55.26,52.97,30.01,75.55,42.15,40.60,62.76,52.61,65.43,62.09,31.77,27.39,34.22,47.86,10.55,5.6,36,601.585166673901,84.7,619.09814,32.6289439,57.0982427,40.0052301,0.306711807788,21.76256,3.06029452762088,91.728457984,11.3627452573192,3,4,2,24.5,52.102,74.44691,36.06043,20.95766,0.9148,94.1992848711882,10.7,25.27,16.37922,15.8275,0.174,5.728849139,86.348871541,0,42.92,990.967264344262,6,0,1,2,25,0.431435302295788,2,0.28,27.8,31,0.443405236701868,0.062614387510647,6.9,4,0.874945913355804,0.069804526865482,4.44,0.4078516,0,0,36,52.1,36.1,21.0,0.085,94.2,991.0,0,0
"Madagascar","MDG",45.91,43.76,56.91,37.05,69.12,15.91,24.50,65.52,62.93,43.79,62.95,57.96,43.37,40.32,48.14,16.37,33,229,352.861513487317,49.6,429.89085,7.0317622,35.2523217,11.9951814,0.507719683532145,15.4,1.87838897938314,203.978734769,0.616711983928296,3,3,3,28.4,64.6563,,50.0418,21.5842,0.98072,41.2094801442493,3.7,27.43,16.87223,23.42268,0.03,7.210336604,5.525586197,0,64.68,884.347962201331,3,0,0,4,45,0.543700908331915,3,0.4,56.9,28,0.571569789193354,0.02299181495795,4.6,4,0.645549220813832,,6.46,0.3501448,0,0,229,64.7,50.0,21.6,0.019,41.2,884.3,0,0
"Liberia","LBR",45.07,45.99,48.97,40.24,59.68,28.89,33.57,61.80,37.71,54.47,55.42,48.29,61.19,48.92,41.44,9.42,31.9,256,724.506181294037,69.9,609.06918,2.4173082,62.6101175,16.8894483,0.346649350009683,9.8,3.1012659072876,135.642572084,3.30767862892912,3,4,2,33.7,47.60013,37.68945,44.95627,29.93241,0.77964,73.3534491444261,5.41,30.78,15.92814,21.19093,0.187,8.968147583,55.593831975,0,49.67,523.126733455321,3,1,2,3,25,0.610988719322295,4,0.2,37.7,37,0.476567871230388,0.032959251898945,6.2,4,0.634178251931993,0.158361285924911,4.37,0.4638,0,0,256,47.6,45.0,29.9,0.220,73.4,523.1,0,0
"Sierra Leone","SLE",44.22,41.05,55.20,36.39,44.60,21.67,27.65,70.29,64.42,55.71,51.94,48.74,57.78,41.38,41.62,4.80,22.3,160,1359.67420913277,120.4,1327.38804,5.359547,47.8186282,13.262579,0.385261805865065,14.2,1.88006594557511,155.341218869,1.82431151287052,3,2,3,27.3,48.09047,97.93864,63.26079,26.83701,0.85395,76.6560382584021,2.1,28.47,12.52842,27.47974,0.087,6.805220803,66.274441166,0,75.46,753.012495770077,3,1,2,3,10,0.596185196315216,4,0.31,34.4,29,0.588723885920123,0.120972639994732,6.2,3,0.607770428141686,0.089762836694717,2.58,0.49622,0,0,160,48.1,63.3,26.8,0.146,76.7,753.0,0,0
"Ethiopia","ETH",43.50,50.57,52.25,27.68,66.76,28.72,38.41,68.41,55.76,34.57,68.66,50.03,16.49,54.65,31.56,8.02,32,236,352.699291141317,59.2,558.9209,12.1065702,48.6419885,28.0213816,0.439918073402733,26.56256,3.10281620025635,142.638885508,8.05245496085937,2,3,3,25.3,49.0907,85.84677,41.88357,13.07758,0.91017,31.5938803866051,2.9,41.83,18.07968,15.20765,0.029,10.37384062,49.831985503,0,83.52,1037.28540875527,7,0,0,2,30,0.775359536856126,2,0.23,58.3,33,0.600042493955087,0.040892889069721,8.5,2,0.623511305564223,,3.75,0.44335,0,0,236,49.1,41.9,13.1,0.090,31.6,1037.3,0,0
"Yemen","YEM",41.76,54.99,50.62,19.67,72.31,43.75,46.09,57.80,60.67,43.33,57.92,40.55,6.82,42.63,23.94,5.29,26.1,182,385.155057003407,41.9,514.98904,40.4391313,46.5273772,53.3313763,0.458853756092947,48.40671,1.45023483578516,62.342700259,6.9992059179884,3,4,4,21.5,70.07401,84.83733,58.14347,38.9423,0.68814,68.4862707855832,22.55,66.36,16.17834,23.13406,0.147,5.682522296,100.231582794,0,47.95,332.274894214066,7,0,0,0,30,0.562140513297717,2,0.17,42.6,18,0.364051744259498,,9.4,2,0.668230272761913,0.110395818948746,2.35,0.4809012,0,0,182,70.1,58.1,38.9,0.312,68.5,332.3,0,0
"Guinea","GIN",41.66,45.58,51.23,28.18,66.83,35.33,29.09,51.06,42.48,52.39,63.20,46.83,39.73,33.73,35.66,3.59,16.4,115,678.988871880357,93.7,679.5984,14.047618,67.4014594,20.0991418,0.375911889096951,26.2,1.29433509644461,143.513624834,9.02754740703391,5,4,3,27.3,30.40826,73.9667,44.29489,30.72435,0.65594,72.098750753286,1.72,32.56,16.31699,20.88827,0.063,5.95421577,64.103385479,0.605,86.95,1090.56983339317,5,1,1,2,20,0.623541782606742,4,0.38,14.3,25,0.697321389284343,0.049931863466462,8.7,3,0.577264942399086,,2.07,0.4826536,0,0,115,30.4,44.3,30.7,0.344,72.1,1090.6,0,0
"Niger","NER",41.63,48.11,45.15,31.64,71.78,22.19,37.29,61.18,29.64,45.89,63.98,41.12,45.15,33.81,39.60,8.00,9.5,56,553.496951402057,95.5,739.98916,8.7176867,48.6223276,10.8836394,0.46967362486233,14.4,,117.195257267,4.71606667838623,4,3,3,26.4,19.12979,61.01873,24.10713,10.21485,0.70472,44.4374857632685,1.95,23.85,15.50721,19.60741,0.046,5.503934989,61.123040374,0,88.33,1660.51872736849,3,1,0,3,30,0.715845389434579,4,0.61,29.6,34,0.674976672809517,0.070400669233893,7.5,2,0.708519347310822,0.040067695081234,1.41,0.3496483,0,0,56,19.1,24.1,10.2,0.295,44.4,1500.0,0,0
"Angola","AGO",39.70,43.74,49.73,25.65,62.41,27.69,31.12,53.73,52.19,52.23,51.58,42.91,21.36,23.77,43.13,14.32,14.2,90,476.978075626399,156.9,873.27149,14.8444566,28.1695604,51.5937037,0.192643474044625,37,1.71450115922021,133.418582738,10.8457750851463,3,5,3,26.9,71.14099,84.01231,35.81123,21.09862,0.64825,63.4792082001473,21.26,37.84,15.7519,24.17905,0.156,14.28370474,49.967619562,0,53.54,995.887871239446,6,0,0,3,15,0.335712617567485,2,0.36,26.9,15,0.560513772685676,0.126269559503831,7.3,3,0.747554214183908,,5.31,0.34587,0,0,90,71.1,35.8,21.1,0.352,63.5,995.9,0,0
"Chad","TCD",36.38,36.75,45.27,27.11,44.84,20.16,30.79,51.22,36.64,38.04,60.65,45.75,37.66,23.27,42.25,5.26,34.4,261,856.248311762304,138.7,1070.92998,6.4228288,44.750936,12.0801433,0.43534816445779,6.4,1.72844369490415,116.124115827,9.41345347295332,4,5,3,24.1,40.17137,84.44159,26.03688,17.67568,0.45736,39.7509799679755,2.5,40.17,14.73585,23.19335,0.045,5.166458428,59.004907053,0,80.62,1122.70812302016,7,1,1,3,20,0.467403813887253,3,0.45,9.8,22,0.68960402306165,0.020180576860902,8.2,3,0.751034701451535,,1.63,0.4186106,0,0,261,40.2,26.0,17.7,0.543,39.8,1122.7,0,0
"Afghanistan","AFG",35.89,41.55,43.46,22.65,69.05,29.21,24.01,43.94,49.06,52.70,50.14,21.92,28.09,37.24,18.65,6.61,26.8,173,396.137276827716,91.1,362.69138,12.1708558,46.975333,31.8529526,0.599943842578277,43,,251.840418466,6.4508176266087,5,5,5,15.5,38.15612,,66.15321,43.90559,0.5608,74.8828424132874,6.39,37.44,15.91239,30.54287,0.144,10.09512227,135.686836803,0,21.25,544.791752922423,6,1,1,0,,0.481395256238471,1,0.17,42.7,11,0.447477020320924,0.021394546788559,8.9,1,0.508817542823797,0.284256905317307,0.98,0.4482338,0,0,173,38.2,66.2,43.9,0.439,74.9,544.8,0,0
"Central African Republic","CAF",30.03,29.84,41.42,18.83,35.46,26.45,21.40,36.05,30.82,35.41,58.88,40.58,2.27,38.66,21.81,12.57,47.7,380,882.065658671722,130.1,1212.1434,1.6119233,54.3507125,21.792091,0.304679216442011,10.8,,168.719070404,13.6489154608389,5,5,5,32.4,36.75261,70.55846,23.03378,9.09162,0.51273,24.5396089317025,4.03,33.84,15.89603,18.49397,0.08,14.60704169,66.259597745,0,90.87,11031.6937698695,7,0,0,0,10,0.7757738137794,3,0.42,27,24,0.736185915866966,0.108333935115035,9.6,1,0.387390900906386,0.063693664968014,4.27,0.345496,0,0,380,36.8,23.0,9.1,0.487,24.5,1500.0,0,0
"Bahrain","BHR",,,73.11,48.02,,99.74,86.71,71.79,93.75,75.03,58.57,65.08,28.14,68.61,49.35,45.99,,,15.1811907812483,6.2,48.48326,100,100,99.1976325,0.533490446896066,97.69783,6.18413566268317,2.359621286,0.545038043726235,2,4,3,8,95.70295,,100.14868,85.02844,1.04025,173.27393347722,90.99998,58.69,20.14415,13.34024,0.357,10.15480785,38.144964881,72.68,56.54,619.513974253884,7,0,0,3,60,0.854180863780622,2,0.04,56.3,51,0.679710041550727,,7.7,3,0.853927155014368,0.332381665706635,10.53,,2,0.428200351586073,,95.7,100.0,85.0,0.040,100.0,619.5,2,4
"Belize","BLZ",,,65.35,,95.31,91.61,72.70,,85.61,59.54,58.38,57.86,85.22,,54.95,29.15,6.2,40,27.700524282698,16.5,104.56716,80.6117987,100,90.5396464,0.385281028497862,100,4.085434,23.739411502,45.0947232331859,,,,24.4,82.68886,96.53275,90.51343,58.7073,1.04166,50.7125660028609,38.7,18.54,20.56706,14.42399,0.33,12.35870947,2.792032967,2.2801,99.03,3574.39692998137,1,2,2,4,35,0.858789704987372,4,,71.2,,0.49241093235552,0.217943203376596,4.1,4,0.752596414127746,0.199500113725662,9.77999999999999,0.1585449,0,0,40,82.7,90.5,58.7,0.042,50.7,1500.0,0,0
"Bhutan","BTN",,,67.28,43.68,,72.37,78.59,85.73,78.58,64.25,60.53,65.76,47.14,73.76,46.71,7.12,,,147.894825933827,32.9,186.9087,58.1945519,100,50.4003421,0.856441127384262,75.56256,5.75565882779784,64.012535534,2.47044666124807,1,2,2,15.1,64.88745,85.5824,91.94067,69.1697,1.06927,82.0700618638577,34.37,32.65,19.47774,20.51436,0.143,12.89513484,57.246362427,0,96.34,168.219456657223,3,1,0,2,60,0.809123477447691,2,0.14,84.6,65,0.600270616504717,0.163778698783144,7.9,3,0.842102590433268,,3.23,0.4481067,0,0,,64.9,91.9,69.2,0.069,82.1,168.2,0,0
"Burundi","BDI",,,54.02,26.54,,45.45,25.50,58.66,68.61,33.35,59.53,54.58,14.21,43.51,37.02,11.41,,,711.597366955289,81.7,704.8319,6.9858838,73.7657629,48.0129097,0.303110644757146,6.5,2.08395819718154,152.77067149,4.19430579908148,3,4,4,21.3,85.62481,95.35938,50.12112,20.77257,0.84806,30.4620103575855,1.38,42.93,16.05164,24.29228,0.031,10.27926728,53.600849768,0,64.71,404.141968586387,7,0,0,2,20,0.427258309222558,4,0.1,40.6,21,0.576450497379421,0.034666662249718,8,4,0.563049301482702,0.044237732887268,4.23,0.3686809,0,0,,85.6,50.1,20.8,0.152,30.5,404.1,0,0
"Cape Verde","CPV",,,71.37,,91.91,73.96,60.40,,88.40,76.81,67.41,52.86,94.32,,,21.38,9.4,68,42.3483394742285,24.5,141.88444,59.4410946,87.2931361,72.221949,,70.56256,3.17139261419123,39.826658491,10.6407646331652,,,,26.1,87.57656,98.16653,114.22628,72.31295,1.13523,121.789701709763,40.26,20.69,19.93067,15.10845,0.115,10.54198437,51.650505683,,37.03,204.551772550292,1,2,2,4,75,,4,,75.8,55,,,4,4,,,6.14,0.18239,0,0,68,87.6,100.0,72.3,0.135,100.0,204.6,0,0
"Comoros","COM",,,63.09,40.24,,57.08,46.59,,73.58,49.23,56.73,72.82,58.57,40.26,49.42,12.71,,,335.231727916161,73.5,494.6237,38.0299925,89.1400412,35.8187305,0.395350910084812,69.3,,133.983144823,8.01310570915889,,,,21.8,77.76355,83.21599,65.53906,50.36706,1.03764,50.9012038201154,6.98,24.52,15.87739,23.47109,0.133,7.837209134,7.950571195,,68.38,397.930088531187,3,1,1,4,30,0.533299519691858,3,,31.2,26,0.652773431983039,0.080047488298719,5,3,0.719217886206751,,6.03,0.4761438,0,0,,77.8,65.5,50.4,0.038,50.9,397.9,0,0
"Congo, Democratic Republic of","COD",,,51.99,28.72,,19.70,27.03,40.55,60.42,41.50,55.58,50.48,24.34,36.03,36.79,17.70,,,693.350225822608,98.3,920.67195,7.8570153,31.2115202,28.651404,0.38505345267998,16.4,,160.456715764,13.4759142346513,5,4,5,33.2,77.28964,,55.63678,36.70269,0.62181,53.4932163754393,3,44.31,15.45068,23.5655,0.046,15.80573695,60.104770625,0,76.14,744.92073749641,6,1,1,0,10,0.541783767383069,4,0.25,17.1,22,0.536578114435282,0.083633209713975,9.5,3,0.766555662972963,0.037718754261732,6.26,0.2769055,0,0,,77.3,55.6,36.7,0.378,53.5,744.9,0,0
"Cuba","CUB",,,64.58,,98.57,86.94,,79.41,96.34,27.22,63.42,71.36,2.27,65.91,,46.98,5,7,39.1640978410843,5.5,33.22394,77.6595299,89.797547,93.1589044,,100,,3.185333297,4.70882966213684,1,3,3,7.5,99.71157,93.15654,100.82088,98.54311,1.03432,22.4783958427502,30,70.21,21.96208,16.54665,0.229,11.97905632,16.264710939,8.283,78.51,214.656620145602,7,0,0,0,10,,2,0.23,88,47,,,4.5,4,,0.755912899971008,13.19,0.1125588,1,0.043817704035815,8,99,100.0,98.5,0.034,22.5,214.7,1,1
"Gabon","GAB",,67.57,,42.44,84.09,55.92,57.82,72.47,,64.93,58.03,66.44,35.99,48.55,55.40,29.81,5,18,290.693240065504,50.8,589.38116,64.5393813,66.6762996,41.858578,0.254567708114588,89.3,2.49805865225854,48.820493413,9.40999373076049,2,3,2,22.9,83.17981,,,,,171.375053030046,9.81,31.38,18.12271,15.04277,0.198,16.70572973,42.872964457,0,89.37,221.162915007813,6,1,1,1,40,0.663817343649538,4,0.22,35.7,34,0.61061089278788,0.034110264717953,3.7,4,0.75225981569973,0.447366237640381,10.16,0.2347992,0,0,18,83.2,,,,100.0,221.2,0,0
"Gambia, The","GMB",,59.51,53.36,,76.36,61.04,41.85,58.78,61.93,61.32,61.99,28.19,30.21,41.99,,8.48,5.3,32,706.020163709494,68.9,590.45238,33.1260491,84.3516869,58.8754473,,34.5268,2.9853684891354,131.890467213,9.60326866956793,4,3,3,29.4,55.54719,67.93066,64.08891,47.75778,0.94973,119.630488738859,15.56,44.5,16.75858,19.13068,0.133,5.916336399,67.21296763,0.4,43.63,2548.54380972515,7,1,0,3,25,,4,0.25,25.1,28,,,3.7,4,,0.055109802633524,3.48,,0,0,32,55.5,64.1,47.8,0.050,100.0,1500.0,0,0
"Guinea-Bissau","GNB",,,,,64.11,30.02,,58.13,,51.20,53.14,43.61,57.98,41.35,,6.89,20.7,143,549.101074751933,92.5,869.7815,5.7527354,60.2792565,20.849953,,60.60672,,178.001526155,10.2867470868212,4,4,2,27.5,59.91057,68.23333,,,,63.4836905529735,3.32,28.7,14.85519,22.39572,0.206,7.380251851,86.679104368,0,87.3,964.526358841331,5,1,2,4,20,,4,0.22,32.7,17,,,5.7,4,,,2.36,0.40315,0,0,143,59.9,,,,63.5,964.5,0,0
"Guyana","GUY",,73.91,58.60,,87.04,84.93,63.71,59.95,86.88,62.97,33.37,51.19,70.61,,,30.50,10.6,74,228.76193290738,39.4,177.24586,67.3060421,98.3017861,83.6501732,,79.46677,3.01403453700039,19.519858047,19.4630081842805,5,3,2,17.3,88.49968,81.36664,93.02862,83.2775,0.99208,70.5389105324652,37.35,27.21,15.24728,37.23384,0.216,25.00664603,29.788629662,0.65,51.31,747.005827622014,2,1,2,4,30,,4,,60.9,29,,,6.5,4,,0.015243919566274,10.85,0.1048157,0,0,74,88.5,93.0,83.3,0.008,70.5,747.0,0,0
"Haiti","HTI",,42.39,,36.65,49.99,27.47,33.46,58.64,,55.09,59.86,45.34,55.71,39.52,36.71,14.67,53.4,546,359.318641818236,69,405.37111,9.7959011,47.6118794,27.6049817,0.22249743818992,37.9,1.58751151900034,115.481474461,10.1612024649137,3.5,4,3,,60.73228,,56.55052,,,64.7074595783417,11.4,25.08,17.01645,23.92597,0.088,7.959279029,43.553457184,0,24.41,474.871267185871,5,1,2,4,10,0.390837858884177,4,0.19,47.5,17,0.479182441018799,0.160861074264162,6.7,3,0.562703375247919,0.038949612528086,6.9,0.3829759,0,0,546,60.7,56.6,,,64.7,474.9,0,0
"Libya","LBY",,,60.61,33.39,,,69.13,34.34,89.36,61.30,54.80,36.96,10.56,53.82,45.32,23.86,,,9.3313578726391,13.4,52.63904,,,96.5640929,0.349563080516468,100,2.84627122550584,2.418324249,2.52461952090721,3.5,5,4,73.4,91.02328,,109.50278,94.2919,1.17521,161.12060986476,17.76,45.99,19.72242,17.63396,0.439,3.892375588,55.772676869,9.6,24.72,921.348321035032,6,0,0,1,10,0.771930179534575,2,0.03,41.8,16,0.701113927625108,,7.8,2,0.858069990681925,0.831692636013031,6.27,,0,0,,91.0,100.0,94.3,0.175,100.0,921.3,0,0
"Luxembourg","LUX",,,87.32,85.08,99.45,99.22,89.65,,94.89,93.38,70.43,90.59,97.73,88.45,84.98,69.18,5,8,9.6977944007953,1.9,20.53522,100,100,97.6007849,0.558802169692085,100,6.56030084763543,0,0.191360997337334,,,,8.7,,92.45727,113.75683,94.02542,1.02604,149.489251268255,94.67,13.61,24.6688,11.41894,0.249,10.81836734,21.582670089,96.844075,100,235.989725784303,1,2,2,4,90,0.930711223078052,4,0.01,,81,0.857939596846481,0.811651627343989,3.1,4,0.93360458926818,1.05234909057617,14.08,0.0601176,1,0.845357436318817,8,,100.0,94.0,0.026,100.0,236.0,2,6
"Malta","MLT",,,81.68,68.02,98.97,100,81.80,,89.52,83.84,70.24,83.14,83.15,74.23,74.95,39.75,5,8,8.78066928648929,6.4,23.59118,100,100,100,0.626893531722511,100,4.46668728873843,0,1.63075179394345,,,,5.1,94.1388,96.55773,90.30803,82.27681,0.88568,126.986883523269,73.17,24.16,23.23585,11.61218,0.283,4.563171228,24.113795973,68.49,93.98,261.901901669758,1,1,2,4,70,0.90600284399235,4,,69.9,56,0.619657307074251,0.758011501777451,3.9,4,0.911484276676598,0.60014134645462,11.59,0.0731224,0,0,8,94.1,90.3,82.3,0.114,100.0,261.9,0,0
"Oman","OMN",,86.17,70.43,,96.79,85.52,87.37,75.01,95.01,77.42,63.13,46.14,35.29,64.27,,,5,33,17.1356889391666,11.6,84.24151,74.3830546,86.1426972,96.743553,0.583912246413172,97.69783,6.13513997478047,3.180096948,1.20907097546631,2,2,3,25.4,94.75601,91.09336,107.7854,96.78803,1.01308,157.753256596473,70.22,38.83,20.49273,17.81812,0.267,4.094227087,52.506430423,5.42,48.68,740.739215075111,6,0,0,4,55,0.910819262746826,2,0.04,37.2,45,,,3,4,,,8.19,,1,0.088447865903901,33,94.8,100.0,96.8,0.013,100.0,740.7,1,2
"Papua New Guinea","PNG",,,54.67,,,17.69,,57.93,62.40,47.17,54.21,54.89,52.84,50.41,,23.56,,,214.799103713706,57.3,554.25686,9.4622527,32.7777311,18.9244137,,18.10671,,159.199031728,10.3951846821924,5,4,2,16.8,64.23469,86.01087,73.22081,22.367,0.75508,44.9284574273138,9.38,25.87,14.91985,26.42219,0.098,9.108343236,6.39169378,0,46.46,770.523148315113,4,1,1,4,20,,4,0.16,46.3,25,,,6.3,3,,0.045977152884007,6.04,0.11463,0,0,,64.2,73.2,22.4,0.245,44.9,770.5,0,0
